"ID","Resultado","Estado","Evidencia","Observaciones"
"SETUP","Backend http://127.0.0.1:3000 OK; admin login 200","PASS","POST /api/login","Fecha 2026-06-15T02:37:15.3197925-05:00"
"SETUP-RBAC","Backend reiniciado=True (SeedRBAC C2)","PASS","ensureSystemRoleMissingPermissions","Sin PUT /roles overwrite"
"SETUP-ASISTENTE1","password E2eTest!2026 OK","PASS","PUT /users/:id",""
"SETUP-SUPERVISOR1","password E2eTest!2026 OK","PASS","PUT /users/:id",""
"SETUP-CONTADOR","password E2eTest!2026 OK","PASS","PUT /users/:id",""
"SETUP-RBAC-COUNT","Supervisor perms=101 Asistente perms=43","PASS","GET /me/permissions","Matriz canÃ³nica C2"
"B2-01","Supervisor approve=True observe=True controls=True","PASS","GET /me/permissions SUPERVISOR1",""
"B2-02","Asistente approve=False observe=False upload=True","PASS","GET /me/permissions ASISTENTE1",""
"B2-03","Contador dashboard=False","PASS","GET /me/permissions CONTADOR",""
"B2-05","Dashboard CONTADOR HTTP 403","PASS","GET /supervisors/dashboard",""
"B2-04","Empresas CONTADOR HTTP 200 tiene_cred=True","PASS","GET company-credentials","Contador tiene finance.company_credentials_view"
"B2-NOT","Notificaciones CONTADOR HTTP 403","PASS","GET notifications",""
"B2-09a","sin token HTTP 401","PASS","POST approve",""
"SETUP-CO","empresas E2E sol=24 dist=38 p601=11 p621=11","PASS","GET activity-modules list",""
"SETUP-API","sunat-inbox list HTTP 200 total=22","PASS","pre B4 probe",""
"B4-01","listado asistente total=22","PASS","GET sunat-inbox HTTP 200",""
"B4-02","lazy/ensure OK ctrl=445 decl=2023 status=pendiente","PASS","GET detail",""
"B4-03","upload PDF HTTP 201","PASS","POST upload control_id+declaration_id",""
"B4-04","upload IMG HTTP 201","PASS","POST upload png",""
"B4-03b","attachments count=2","PASS","GET attachments",""
"B4-05","obs creada id=8","PASS","POST observations",""
"B4-06","estado=en_elaboracion","PASS","PUT declaration",""
"B4-06b","en_revision en_revision","PASS","PUT en_revision",""
"B4-08","observe status=observado progress=40 approver=2","PASS","POST observe SUPERVISOR1",""
"B4-10","control.general_status=observado","PASS","GET /controls/445",""
"B4-11","obs auto=True total=1","PASS","GET observations",""
"B11-01","observe SOL POST /declarations/:id/observe Ãºnico","PASS","POST observe",""
"B11-02","decl observado progress=40 approver=2","PASS","JSON response",""
"B11-03","control.general_status=observado","PASS","GET control",""
"B11-04","observaciÃ³n auto creada=True","PASS","GET observations",""
"B4-12","validate status=validado","PASS","POST validate",""
"B2-09","asistente approve HTTP 403","PASS","POST approve ASISTENTE1",""
"B2-10","asistente observe HTTP 403","PASS","POST observe ASISTENTE1",""
"B2-11","asistente validate HTTP 403","PASS","POST validate ASISTENTE1",""
"B2-12","supervisor observe 200","PASS","POST observe SUPERVISOR1",""
"B5-01","listado asistente total=22","PASS","GET detracciones HTTP 200",""
"B5-02","lazy/ensure OK ctrl=387 decl=2024 status=pendiente","PASS","GET detail",""
"B5-03","upload PDF HTTP 201","PASS","POST upload control_id+declaration_id",""
"B5-04","upload IMG HTTP 201","PASS","POST upload png",""
"B5-03b","attachments count=2","PASS","GET attachments",""
"B5-05","obs creada id=10","PASS","POST observations",""
"B5-06","estado=en_elaboracion","PASS","PUT declaration",""
"B5-06b","en_revision en_revision","PASS","PUT declaration en_revision","F4.1a evidencias cargadas"
"B5-07","observe observado","PASS","POST observe desde en_revision",""
"B5-07b","correccion en_elaboracion","PASS","PUT observado->en_elaboracion",""
"B5-07c","reenvio en_revision","PASS","PUT en_revision tras correccion",""
"B5-08","validate validado","PASS","POST validate",""
"B5-09","decl=2024 archivos y estados persistidos","PASS","flujo completo F4.1a",""
"B11-05","Detracciones observe observado","PASS","POST observe",""
"B5-10","validado bloquea cambios HTTP 400","PASS","estado terminal F4.1a",""
"B6-01","ensure decl=1729 status=pendiente ctrl=433 company=11","PASS","GET pdt-601/11",""
"B6-02","lazy ensure OK","PASS","GET detail",""
"B6-04","observaciÃ³n OK","PASS","POST observations",""
"B6-05","estado en_revision","PASS","PUT declaration",""
"B6-06","decl.due= ctrl.due=2026-07-20T00:00:00-05:00","PASS","GET control+detail","Fallback due_date"
"B6-08","observe observado","PASS","POST observe",""
"B6-09","approve aprobado progress=85","PASS","POST approve",""
"B6-10","sin validate mÃ³dulo PDT601","PASS","solo approve",""
"B11-06","PDT601 aprobado","PASS","POST approve",""
"B7-01","ensure decl=1730 ctrl=433 company=11","PASS","GET pdt-621/11",""
"B7-02","lazy ensure OK","PASS","GET detail",""
"B7-03","upload OK","PASS","POST upload",""
"B7-05","ctrl.due_date=2026-07-20T00:00:00-05:00","PASS","GET control",""
"B7-07","approve aprobado","PASS","POST approve",""
"B11-07","PDT621 aprobado","PASS","POST approve",""
"B11-08","MÃ³dulos F3-F6 y legacy usan POST /api/supervisors/declarations/:id/observe","PASS","misma ruta backend","SupervisorControlDetail.tsx L654"
"B2-13","approve pdt621 aprobado","PASS","POST approve",""
"B3-01","rows=5 fields presentes","PASS","GET company-credentials",""
"B3-02","columnas iguales asistente","PASS","misma API",""
"B3-03","busqueda total=75","PASS","GET ?q=20",""
"B3-05","paginaciÃ³n per_page=5","PASS","GET per_page=5",""
"B3-08","ast total=22 sup total=81","PASS","GET ambos roles",""
"B3-07","dig mostrado o vacÃ­o","PASS","GET list",""
"B8-01","al_dia=0 pend=76 venc=0 obs=5 cumpl=0%","PASS","GET dashboard",""
"B8-03","controls total=81","PASS","GET controls",""
"B8-07","sin enlace /activities","PASS","UI cÃ³digo","No browser"
"B8-12","sin KPI SOL/Detracciones en API dashboard","PASS","GET dashboard",""
"B9-01","controles total=22","PASS","GET controls ASISTENTE1",""
"B9-02","KPI desde general_status","PASS","GET controls",""
"B9-06","sin /assistant/activities","PASS","cÃ³digo",""
"B10-01","count=0","PASS","GET notifications",""
"B10-05","count=0","PASS","GET notifications",""
"B10-06","enlace dinÃ¡mico controlDetailPath en notificaciones","PASS","SupervisorNotifications.tsx","C1 corregido"
"B10-07","CONTADOR notif HTTP 403","PASS","GET notifications",""
"B12-04","periodos=2 periodo=2026-06","PASS","GET periods",""
"B12-01","legacy ctrl=445 status=observado","PASS","GET control/:id",""
"B12-02","observe legacy misma API","PASS","POST /observe",""
"B12-06","reporte monthly OK","PASS","GET reports/monthly",""
"B12-08","lazy ctrl=445","PASS","company 20",""
"B1-01","HTTP 200","PASS","GET /api/supervisors/dashboard?period_ym=2026-06","API; UI browser no ejecutada"
"B1-02","HTTP 200","PASS","GET /api/finance/company-credentials?per_page=1","API; UI browser no ejecutada"
"B1-04","HTTP 200","PASS","GET /api/supervisors/activity-modules/sunat-inbox?period_ym=2026-06&per_page=1","API; UI browser no ejecutada"
"B1-05","HTTP 200","PASS","GET /api/supervisors/activity-modules/detracciones?period_ym=2026-06&per_page=1","API; UI browser no ejecutada"
"B1-06","HTTP 200","PASS","GET /api/supervisors/activity-modules/pdt-601?period_ym=2026-06&per_page=1","API; UI browser no ejecutada"
"B1-07","HTTP 200","PASS","GET /api/supervisors/activity-modules/pdt-621?period_ym=2026-06&per_page=1","API; UI browser no ejecutada"
"B1-08","HTTP 200","PASS","GET /api/supervisors/notifications","API; UI browser no ejecutada"
"B1-09","HTTP 200","PASS","GET /api/supervisors/controls?period_ym=2026-06&per_page=1","API; UI browser no ejecutada"
"B1-10","HTTP 200","PASS","GET /api/finance/company-credentials?per_page=1","API; UI browser no ejecutada"
"B1-12","HTTP 200","PASS","GET /api/supervisors/activity-modules/sunat-inbox?period_ym=2026-06&per_page=1","API; UI browser no ejecutada"
"B1-16","HTTP 200","PASS","GET /api/supervisors/notifications","API; UI browser no ejecutada"
"B1-03","Calendario ruta /finance/calendar","PASS","sidebar","No HTTP en esta corrida"
"B1-17","redirect /supervisors/activities","PASS","App.tsx",""
"B1-19","Volver a dashboard","PASS","ListPages codigo",""
